epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,25833.3,0.0494,0.21598,0.89144,0.9967,0.99571,0.99494,0.99494,0.14492,0.23713,0.21089,0.004258,0.004258,0.004258
60,26271.3,0.04881,0.21977,0.89053,0.99685,0.99674,0.99497,0.99497,0.16394,0.27059,0.22524,0.004159,0.004159,0.004159
61,26708.1,0.04785,0.2138,0.89303,0.9935,0.99879,0.99496,0.99495,0.16052,0.27224,0.22499,0.00406,0.00406,0.00406
62,27144.9,0.04817,0.21926,0.88885,0.99595,0.99709,0.99498,0.99498,0.15224,0.26106,0.20945,0.003961,0.003961,0.003961
63,27582.1,0.04516,0.21016,0.88886,0.9976,0.99582,0.99496,0.99496,0.16673,0.28929,0.22336,0.003862,0.003862,0.003862
64,28018.7,0.04524,0.20617,0.8898,0.99525,0.99859,0.995,0.99484,0.17556,0.28654,0.23417,0.003763,0.003763,0.003763
65,28456.1,0.04469,0.2071,0.89008,0.99623,0.99709,0.99498,0.99498,0.16044,0.27623,0.22182,0.003664,0.003664,0.003664
66,28893.8,0.04515,0.20591,0.88944,0.99717,0.99719,0.995,0.995,0.15236,0.26676,0.21451,0.003565,0.003565,0.003565
67,29331.3,0.04291,0.1999,0.88809,0.99449,0.99957,0.99498,0.99498,0.15876,0.27322,0.22132,0.003466,0.003466,0.003466
68,29767.9,0.04375,0.19943,0.88742,0.99566,0.99709,0.99498,0.99467,0.16954,0.28274,0.23638,0.003367,0.003367,0.003367
69,30205.7,0.04185,0.20035,0.88943,0.99648,0.99709,0.99498,0.99498,0.15695,0.25368,0.22076,0.003268,0.003268,0.003268
70,30643,0.04122,0.20034,0.8893,0.99595,0.99797,0.99498,0.99498,0.16014,0.26459,0.22485,0.003169,0.003169,0.003169
71,31080.7,0.03972,0.19065,0.88743,0.99733,0.99709,0.99498,0.99498,0.14606,0.24736,0.21031,0.00307,0.00307,0.00307
72,31518.9,0.03933,0.19085,0.88986,0.99679,0.99642,0.99498,0.99475,0.14479,0.2412,0.20783,0.002971,0.002971,0.002971
73,31957.3,0.03859,0.19101,0.88882,0.9998,0.9978,0.995,0.99475,0.14841,0.23418,0.2063,0.002872,0.002872,0.002872
74,32396.8,0.03838,0.19154,0.88947,0.99747,0.99798,0.995,0.995,0.12471,0.22259,0.18178,0.002773,0.002773,0.002773
75,32836.4,0.03765,0.18992,0.88899,0.99757,0.99898,0.99498,0.99498,0.13448,0.23575,0.18897,0.002674,0.002674,0.002674
76,33276.5,0.03781,0.18992,0.88871,0.99795,1,0.995,0.99492,0.13447,0.2401,0.19419,0.002575,0.002575,0.002575
77,33717.1,0.03636,0.18577,0.88605,0.99877,0.99975,0.995,0.99499,0.13606,0.24522,0.1933,0.002476,0.002476,0.002476
78,34157.7,0.03622,0.1844,0.89101,0.99727,1,0.995,0.995,0.15064,0.27147,0.21237,0.002377,0.002377,0.002377
